iter	Passed	Remaining
0	60	60477
1	125	62659
2	186	62030
3	251	62705
4	343	68293
5	432	71668
6	530	75326
7	615	76318
8	692	76276
9	761	75342
10	823	74007
11	881	72600
12	941	71486
13	997	70282
14	1054	69213
15	1109	68205
16	1179	68201
17	1250	68237
18	1324	68371
19	1386	67949
20	1446	67444
21	1504	66901
22	1563	66408
23	1609	65471
24	1654	64516
25	1705	63897
26	1758	63386
27	1821	63239
28	1883	63074
29	1932	62480
30	1979	61859
31	2031	61447
32	2079	60931
33	2127	60432
34	2183	60190
35	2238	59946
36	2299	59838
37	2353	59578
38	2405	59268
39	2456	58957
40	2503	58565
41	2547	58107
42	2589	57630
43	2634	57243
44	2676	56792
45	2719	56392
46	2767	56107
47	2805	55649
48	2844	55213
49	2882	54768
50	2928	54493
51	2969	54137
52	3010	53796
53	3063	53675
54	3119	53591
55	3179	53602
56	3233	53500
57	3284	53348
58	3338	53247
59	3384	53031
60	3429	52795
61	3475	52578
62	3518	52327
63	3559	52063
64	3601	51810
65	3640	51512
66	3680	51246
67	3724	51051
68	3764	50794
69	3807	50586
70	3848	50360
71	3891	50160
72	3935	49977
73	3983	49845
74	4033	49748
75	4085	49676
76	4134	49560
77	4185	49478
78	4235	49375
79	4283	49265
80	4328	49110
81	4379	49023
82	4425	48897
83	4468	48733
84	4512	48572
85	4558	48451
86	4600	48282
87	4641	48102
88	4683	47938
89	4726	47789
90	4768	47628
91	4813	47507
92	4861	47411
93	4915	47380
94	4971	47359
95	5027	47339
96	5082	47313
97	5133	47246
98	5180	47148
99	5228	47056
100	5275	46958
101	5323	46865
102	5366	46736
103	5408	46599
104	5454	46496
105	5495	46349
106	5535	46197
107	5577	46066
108	5618	45924
109	5659	45791
110	5703	45679
111	5757	45645
112	5814	45639
113	5880	45699
114	5936	45685
115	5993	45671
116	6045	45622
117	6093	45545
118	6140	45460
119	6188	45385
120	6230	45262
121	6275	45165
122	6320	45067
123	6364	44962
124	6410	44872
125	6459	44806
126	6501	44691
127	6553	44646
128	6611	44638
129	6668	44625
130	6727	44624
131	6776	44563
132	6832	44537
133	6885	44501
134	6935	44440
135	6986	44382
136	7033	44303
137	7074	44188
138	7116	44079
139	7170	44050
140	7214	43954
141	7257	43849
142	7298	43741
143	7342	43649
144	7386	43553
145	7432	43474
146	7573	43944
147	7626	43904
148	7684	43891
149	7744	43883
150	7799	43850
151	7848	43787
152	7900	43739
153	7947	43658
154	7995	43589
155	8034	43466
156	8079	43381
157	8124	43296
158	8166	43193
159	8209	43098
160	8251	43001
161	8291	42892
162	8335	42801
163	8375	42695
164	8421	42617
165	8465	42530
166	8517	42483
167	8575	42470
168	8633	42452
169	8687	42417
170	8742	42385
171	8795	42340
172	8846	42289
173	8893	42216
174	8943	42163
175	8990	42092
176	9029	41985
177	9073	41899
178	9114	41804
179	9159	41726
180	9201	41636
181	9241	41536
182	9281	41435
183	9324	41352
184	9366	41262
185	9407	41172
186	9451	41093
187	9496	41015
188	9537	40924
189	9581	40845
190	9634	40809
191	9691	40786
192	9742	40738
193	9800	40717
194	9856	40689
195	9910	40654
196	9956	40585
197	10001	40513
198	10044	40431
199	10091	40367
200	10135	40289
201	10180	40217
202	10219	40121
203	10258	40027
204	10298	39937
205	10341	39861
206	10387	39792
207	10432	39724
208	10474	39642
209	10515	39559
210	10561	39491
211	10602	39408
212	10654	39366
213	10705	39321
214	10757	39275
215	10809	39236
216	10863	39198
217	10907	39128
218	10957	39075
219	10997	38992
220	11041	38920
221	11082	38839
222	11120	38746
223	11161	38666
224	11208	38607
225	11246	38516
226	11290	38447
227	11335	38381
228	11385	38331
229	11443	38309
230	11505	38300
231	11563	38277
232	11624	38264
233	11676	38221
